"year","month","tmax","tmin","prcp","snow","dsnd","htdd","cldd"
"2015","09",24.3,13.5,190.3,0,0,43.9,61.1
"2015","10",14.7,4,80,0,0,279.5,0
"2015","11",11.3,1.2,86.9,0,0,362.5,0
"2015","12",6.3,-1.3,137.9,191,3,474.6,0
"2016","01",0.9,-7.6,45.1,126,29,672.8,0
"2016","02",3.5,-7.6,116.1,304,20,591.6,0
"2016","03",8.3,-2.5,87.1,50,2,477.8,0
"2016","04",13.4,-0.2,48.5,89,1,352.9,0
"2016","05",20.5,8,49.4,0,0,147.2,20.2
"2016","06",25.8,12.9,75.8,0,0,25.2,55.7
"2016","07",28.5,16.6,90.4,0,0,5,135.3
"2016","08",28.5,16.4,82.8,0,0,1.9,129.7
"2016","09",24.7,12.4,45.2,0,0,44.8,52
"2016","10",16.1,5.5,119,0,0,232.2,0
"2016","11",9.8,0.2,73.9,25,1,387.6,0
